Item.1,Item.2,Item.3,Item.4,Item.5,Item.6,Item.7,Item.8,Item.9
1,2,2,2,1,1,1,2,2
1,3,1,2,3,1,3,1,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,3,1,3,2,1,1
1,3,3,2,1,2,2,2,2
2,3,2,1,2,2,3,2,3
1,2,2,2,2,1,2,1,2
1,1,1,1,1,1,1,1,1
2,3,1,2,3,1,3,1,3
3,1,2,3,2,2,3,2,2
1,1,1,1,1,1,1,1,1
1,1,1,3,1,1,1,1,1
1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,2,3,2,1,1,1,1
1,2,1,2,2,1,2,1,3
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,2,1,1,2,2
3,2,1,3,2,2,2,3,2
1,2,1,1,1,1,1,1,1
2,2,1,3,1,2,2,2,3
1,3,1,3,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,2,2,1,2,2
1,2,1,3,2,3,1,1,1
1,3,1,2,3,3,1,1,1
1,1,2,1,1,2,1,1,1
2,1,1,2,2,1,1,1,1
3,2,2,2,1,2,2,1,2
3,2,1,3,3,1,3,3,3
3,2,1,2,2,1,3,2,2
1,2,1,1,1,2,1,1,1
2,1,1,1,1,1,1,1,1
1,1,1,3,3,3,2,2,2
2,1,1,2,1,2,1,1,1
2,3,1,2,2,2,3,3,2
1,1,2,1,1,1,1,1,1
1,1,1,1,1,3,1,1,1
2,2,2,3,2,2,3,3,3
1,2,1,1,2,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,3,1,1,2,1,2,1,2
1,2,1,2,1,2,1,2,1
1,1,1,3,1,1,1,1,2
1,1,2,1,2,1,2,1,2
2,1,1,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
2,1,1,1,1,1,2,1,2
2,1,1,1,1,1,1,1,2
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,2,3,1,2,1
1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,2,1,1,2,1,2
1,1,1,2,1,1,1,1,1
3,3,3,3,3,2,3,2,3
2,2,1,1,1,1,1,1,1
1,3,1,1,1,1,2,1,1
1,1,2,1,1,2,1,1,1
2,1,1,2,1,2,1,1,2
2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,2,1,3,1,1,1
1,2,2,1,2,2,2,1,3
1,1,1,1,1,3,1,1,1
1,1,1,1,1,2,1,1,1
1,2,1,1,2,2,2,2,1
2,1,1,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,2,2
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,2,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,2,1,2,2,1,1,1
1,2,1,1,2,1,2,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,2,1,1,1,1,1,1
1,2,1,2,1,2,1,1,2
1,1,1,2,3,1,3,1,1
2,2,1,3,1,1,1,2,1
1,3,1,2,3,2,1,1,1
1,1,1,1,1,2,1,1,1
1,2,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,2,1,3,2,3,2,1,2
2,2,2,2,2,3,2,1,1
2,2,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,1,1,1
1,1,1,1,1,3,2,1,1
1,2,1,2,1,2,1,1,1
1,2,1,2,1,1,1,1,1
1,1,2,2,1,1,2,2,1
1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,2,2,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,2,1,1,3,1,3,2
1,1,1,1,1,1,1,1,2
1,2,1,3,3,3,2,2,2
2,2,2,2,2,1,1,3,2
1,3,1,1,1,2,1,1,1
1,1,2,1,1,2,1,1,1
1,1,1,1,1,3,1,1,1
1,3,2,2,1,2,2,1,3
2,2,1,2,2,2,2,1,1
1,2,1,1,1,2,1,2,2
1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,2,1,1,1,1,1
2,2,2,2,1,2,1,2,1
3,1,3,3,3,3,3,1,1
2,1,2,3,1,3,2,1,2
1,1,1,1,1,1,1,1,1
3,3,3,3,3,2,3,3,3
2,1,1,2,1,1,1,1,1
1,2,1,1,2,1,1,1,1
2,2,1,2,2,2,1,1,1
2,1,3,2,3,2,3,2,3
1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,2,1,1
1,1,1,3,1,1,1,1,1
2,2,1,2,2,3,2,2,2
3,3,3,3,3,3,3,3,3
1,2,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,3,2,2,2,1,1
2,2,3,2,2,1,2,1,2
1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1
2,2,3,2,3,1,3,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,1,2,1,2,1,1
1,2,1,3,1,2,1,1,1
1,2,1,1,2,1,2,2,2
1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,3,2,3,2,2,2,2,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,1,1,2,2,1,1
1,2,1,1,1,2,2,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1
1,1,1,2,2,1,1,1,1
2,2,1,1,2,1,2,1,1
1,3,1,2,2,2,2,2,2
2,1,1,2,2,2,2,1,2
1,1,1,1,1,2,1,1,1
1,1,1,1,1,3,1,1,1
2,1,1,1,2,1,2,3,2
1,1,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,3,1,1,1,1,1
3,3,1,3,3,1,3,3,1
1,1,2,3,1,2,2,2,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,2,1,1,2
2,2,1,2,3,1,2,1,1
2,1,1,1,2,1,2,1,1
1,2,1,1,1,2,1,1,1
1,1,1,2,3,3,3,3,3
1,2,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,3,3,1,3,2,2
2,2,1,2,1,3,1,1,1
2,2,2,3,1,1,3,3,1
2,3,1,3,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,1,3
1,2,1,1,1,1,1,1,1
2,2,2,2,2,2,3,2,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,1,1,3,1,1,1
2,1,1,1,2,3,1,1,3
3,2,1,2,1,1,2,1,2
3,3,2,3,2,3,3,3,3
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
2,1,1,3,2,1,2,1,1
1,1,1,1,1,1,1,1,1
2,2,2,3,3,2,2,2,3
1,2,2,2,1,1,1,1,1
2,3,2,2,2,2,2,2,2
2,2,3,1,3,2,2,1,2
1,1,1,1,1,3,1,1,1
2,1,1,2,2,1,2,1,3
1,3,2,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
3,1,1,3,2,3,3,1,2
1,2,1,2,1,3,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1
2,2,1,2,1,2,2,3,1
1,1,1,2,1,2,1,1,1
2,2,1,2,2,2,2,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,2,1,1
2,2,1,1,1,1,1,1,1
2,2,2,3,2,3,2,1,1
2,2,1,2,1,1,2,2,1
2,2,1,2,1,2,1,1,1
1,2,1,3,2,2,1,1,2
1,2,1,3,1,2,2,1,1
2,1,1,1,1,1,1,1,1
1,1,1,1,1,3,1,1,1
2,2,1,1,2,1,2,2,1
1,2,1,2,2,2,2,1,2
3,3,1,3,3,2,2,1,2
3,3,3,3,3,1,3,3,3
1,1,1,3,1,1,2,1,1
1,3,1,1,1,2,1,1,1
2,2,2,2,2,2,2,2,2
2,3,1,3,2,1,3,2,2
3,3,2,3,3,3,2,2,2
1,3,1,3,1,1,1,1,3
3,3,3,3,3,2,3,1,2
3,3,1,3,3,2,2,1,2
1,1,1,2,2,2,1,1,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,2,2,1,1,1,1
3,3,3,2,3,2,3,2,2
2,2,1,2,1,3,1,1,1
2,1,1,1,2,1,2,1,2
1,2,1,1,1,1,1,1,1
1,1,2,1,1,2,1,1,2
3,3,1,3,3,3,3,3,3
2,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,2
2,1,1,2,1,1,1,1,1
1,3,2,2,2,2,2,1,1
1,2,1,2,2,2,1,1,1
1,2,1,2,1,1,1,1,1
2,2,1,1,1,1,1,1,2
1,3,1,2,1,2,1,1,1
1,1,1,2,1,2,1,1,1
1,2,1,2,1,1,1,1,1
2,2,2,3,2,3,3,1,2
1,1,1,1,1,2,1,1,1
2,1,1,1,1,1,2,1,2
1,1,1,1,1,1,1,1,1
1,1,1,2,2,2,1,1,1
2,1,1,3,2,2,2,2,1
1,1,1,1,1,2,1,1,1
2,2,1,2,2,1,2,3,3
1,1,1,2,1,1,1,2,1
2,2,3,2,3,2,3,3,3
2,2,2,3,3,3,3,1,2
1,2,2,1,2,1,1,1,1
1,1,1,2,1,2,1,1,1
1,2,1,3,3,3,3,1,1
2,3,2,2,1,1,2,2,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
2,1,1,1,1,1,1,2,2
1,2,3,2,1,1,1,1,2
2,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,3
1,2,1,1,1,1,1,1,1
1,2,1,2,1,2,2,1,1
1,1,2,3,2,1,2,1,1
1,1,1,1,1,2,1,1,1
1,2,1,1,2,2,1,1,1
2,3,1,1,2,3,2,2,3
2,1,1,1,1,1,1,1,2
2,2,2,2,2,2,1,1,1
1,1,1,1,1,2,2,1,1
1,1,1,1,1,2,1,1,3
1,1,1,1,1,1,1,1,1
1,2,1,2,1,1,1,1,1
2,2,1,2,2,1,2,1,2
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
2,1,1,1,2,1,2,1,1
1,2,1,3,3,2,2,1,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,2,3,3,2,1,1,1
1,1,1,1,1,1,1,1,1
3,3,2,3,3,2,3,3,3
3,2,1,2,1,2,2,2,1
2,2,2,3,2,1,2,2,2
2,1,1,1,1,1,1,1,1
2,3,1,2,2,3,3,1,2
3,2,2,2,2,1,3,3,2
1,2,1,2,1,1,1,1,1
2,3,1,2,3,3,2,2,2
2,1,1,2,2,2,2,2,1
2,3,1,3,2,1,1,1,1
2,1,1,1,2,1,1,1,2
2,3,3,3,3,1,3,1,1
1,1,1,1,2,1,2,1,1
1,2,2,2,1,2,1,1,1
1,3,1,1,2,2,2,1,1
1,1,1,1,1,1,1,1,2
1,1,1,2,1,1,1,1,1
2,2,1,2,2,1,1,2,1
2,1,1,1,2,1,2,1,2
1,1,1,2,1,2,1,2,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,3,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,3,1,1,1
2,2,1,2,2,3,2,2,3
2,1,2,2,1,1,1,2,1
2,2,2,2,2,2,2,1,2
1,2,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,1,1,1
3,2,1,2,2,1,2,1,2
2,1,1,2,1,2,2,1,1
1,2,2,2,1,3,1,1,2
1,1,1,2,1,2,1,1,1
2,2,1,2,2,2,3,1,1
1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1
2,2,1,1,1,3,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,2,3,3,3,1,3
1,1,1,1,1,1,1,1,1
3,2,1,2,3,2,1,3,3
1,1,1,1,2,1,1,1,1
1,1,1,2,1,1,1,1,1
3,1,1,2,1,1,1,1,1
1,2,3,2,1,2,3,2,1
2,2,2,2,2,2,2,1,2
1,1,1,1,1,1,1,1,1
2,1,1,1,2,1,2,2,2
2,2,2,2,2,2,2,2,2
1,2,1,3,1,3,1,1,2
2,2,1,2,1,1,2,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,1,2
1,1,1,2,1,1,2,1,1
1,1,1,3,1,3,1,1,1
2,2,2,2,2,2,2,1,1
1,1,1,2,1,3,1,1,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1
2,2,1,1,2,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,2,2,1,3,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,2,2,1,1,1,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,3,1,1,1
1,1,2,1,1,1,1,1,1
1,3,1,3,2,3,1,1,1
1,1,1,3,1,2,1,1,2
1,1,1,1,1,2,1,1,1
2,1,1,2,2,1,2,1,2
1,1,2,1,1,2,1,1,1
3,3,1,3,2,2,3,3,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1
3,3,2,2,3,1,3,2,1
2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1
2,3,1,3,3,3,2,3,3
1,2,1,1,1,2,1,1,1
1,1,1,1,2,2,2,1,1
1,1,1,1,1,1,1,1,1
2,3,1,1,2,1,2,1,1
1,1,1,3,1,1,1,1,1
2,3,1,2,2,1,3,2,2
1,2,1,2,2,2,1,1,2
2,2,1,1,2,1,1,1,2
1,1,1,1,1,2,1,1,3
2,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,2,3,1,3,3,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
3,3,3,3,3,1,3,3,3
1,1,1,1,1,1,1,1,1
1,2,1,2,2,3,1,1,1
2,3,1,2,1,2,1,1,2
1,1,1,1,1,1,1,1,1
1,1,1,3,1,3,1,1,1
3,3,3,3,2,2,2,2,1
2,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1
2,1,1,1,1,1,1,1,1
2,2,2,1,2,1,1,1,1
1,1,1,1,1,1,1,1,1
1,3,1,2,1,2,2,1,3
1,1,1,1,1,1,1,1,1
1,2,1,3,1,3,1,1,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
2,3,1,1,1,1,1,3,3
1,1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,2,1,3,2,1,2,2
1,2,1,2,1,1,1,1,2
1,1,1,1,1,1,1,1,1
2,2,1,3,3,1,3,1,2
1,1,1,1,1,1,1,1,1
3,3,1,3,2,2,3,3,2
1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,1,1,2
2,2,2,2,2,2,2,1,1
2,1,1,1,1,2,1,1,1
2,3,2,2,2,2,2,1,1
3,1,1,3,3,1,3,1,2
3,3,1,2,3,1,3,3,3
2,1,1,1,1,1,2,1,2
2,2,1,2,1,3,1,1,1
3,2,2,2,3,1,2,1,1
1,1,1,2,2,1,2,1,1
3,2,1,1,3,1,2,1,2
2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,3
2,2,1,3,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,2,3,3,3,2,2,2
3,1,2,2,3,1,3,2,1
1,1,1,1,1,1,1,1,1
1,2,1,1,2,3,1,1,1
2,1,1,2,1,2,1,1,1
1,1,1,1,1,2,1,1,2
1,3,3,3,3,3,3,3,3
1,1,2,1,1,2,1,1,1
1,1,1,2,1,2,1,1,1
2,1,1,1,1,1,1,1,1
1,1,1,2,2,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
2,2,1,2,1,1,1,1,1
1,2,1,1,1,2,1,1,1
1,3,1,2,1,1,2,1,2
1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,1,1
2,2,1,3,1,1,2,3,3
3,1,1,1,1,1,3,3,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,2,3,2,1,3,1,1,2
1,1,1,1,1,1,1,1,1
1,2,1,2,1,3,1,1,1
1,1,1,1,1,1,1,1,1
1,1,2,2,1,1,1,1,1
1,3,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1
1,1,1,2,1,3,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,3,1,3,2,1,1
3,1,2,3,3,2,3,2,1
1,1,1,2,1,2,1,1,1
1,1,1,2,2,1,1,1,1
1,3,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,2,1,2,1,1,1,1,1
1,1,1,2,1,1,1,1,1
2,2,2,2,1,2,1,2,1
3,2,1,2,2,2,2,2,3
1,1,1,1,1,1,1,1,1
1,2,1,1,1,2,1,1,1
2,2,1,1,1,2,3,1,3
1,2,1,2,1,2,1,1,2
1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,3,1,3,2,1,3,2,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,2,1,1,1
2,3,1,3,2,3,2,3,1
3,1,1,2,3,3,1,3,3
1,1,1,2,1,1,1,1,1
2,2,1,2,2,2,2,1,1
1,1,2,2,1,3,1,1,1
1,1,2,3,1,3,1,1,1
3,1,1,2,2,3,2,1,1
1,1,1,1,1,1,1,1,2
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,2,1,1
2,1,1,1,2,1,1,1,1
1,1,1,3,3,3,3,1,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1
1,1,1,2,1,3,1,2,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2
1,1,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
1,2,1,2,2,3,2,2,2
1,2,1,2,1,2,1,1,1
2,2,2,1,2,1,1,1,2
1,2,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,2,1,1,2,1,1,2,1
1,1,1,2,1,1,1,1,1
3,3,1,2,3,1,3,3,3
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,1,2,3,1,2,1,1,2
1,2,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,2
1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,2
3,3,2,2,3,2,2,3,2
1,3,1,1,1,1,1,1,1
2,1,1,3,2,1,2,3,1
2,1,3,2,1,2,1,1,1
3,3,3,3,2,1,3,1,1
1,2,1,3,1,1,1,1,1
2,2,1,1,2,1,2,1,1
1,2,1,2,1,2,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,3,1,1,1
3,3,1,2,1,3,2,1,1
1,1,1,1,2,1,1,1,1
1,1,1,2,1,3,2,2,2
1,1,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1
2,2,1,2,2,2,2,3,2
1,3,1,2,1,1,1,1,1
1,1,1,2,1,2,1,1,1
1,1,1,1,1,2,1,1,1
2,3,2,2,3,1,1,1,1
1,1,1,2,1,1,1,3,2
3,1,3,1,1,1,3,1,1
1,1,1,1,1,1,1,1,1
2,2,2,2,1,1,3,2,1
3,2,1,3,3,3,3,3,3
1,2,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2
1,1,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
3,3,3,3,3,1,3,3,3
1,1,1,1,1,1,1,1,1
1,1,1,1,1,3,1,1,1
1,1,3,2,2,1,1,1,2
1,3,1,3,3,3,2,2,2
1,1,1,2,1,2,1,1,1
1,3,1,3,1,3,1,3,2
1,1,1,1,1,2,1,1,1
1,3,1,1,2,3,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,2,1,2,2,3,1,1,1
1,1,1,1,1,2,1,1,1
1,2,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
2,2,1,2,2,2,1,2,2
1,1,1,1,1,3,1,1,1
1,2,1,2,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,3,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,2
1,2,1,2,3,3,3,2,3
3,3,3,3,3,1,3,3,1
2,1,1,3,1,2,3,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,1,3,3
1,1,1,2,1,2,1,1,1
1,3,2,2,1,1,1,1,2
1,1,1,3,2,3,1,1,2
1,2,1,1,1,1,1,1,1
1,2,1,3,1,1,2,1,1
1,1,1,2,1,1,1,1,1
1,1,1,3,1,1,1,1,1
1,1,1,2,1,1,1,1,1
2,2,1,3,2,1,1,2,1
1,2,1,1,1,3,3,1,1
1,2,1,1,1,3,1,1,1
1,2,1,2,2,1,2,1,1
3,3,3,3,3,2,3,3,3
1,2,1,2,1,2,1,1,1
2,1,1,2,1,1,1,2,3
1,3,1,2,1,1,1,1,1
1,1,1,2,1,3,1,1,1
3,2,1,3,1,1,3,2,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,2,1,1,2
1,3,1,2,1,2,2,1,2
1,2,2,2,1,3,1,2,1
2,2,2,3,1,3,1,2,2
1,2,1,1,1,1,1,1,1
1,2,1,2,2,3,2,1,1
1,1,1,1,2,1,2,1,1
1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,3,1,1,1
2,1,1,2,1,3,1,1,1
1,1,1,3,3,3,1,1,1
1,1,1,1,1,1,3,2,2
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,3,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,2,1,2,1,1,1
1,2,1,2,1,2,1,1,1
2,3,2,2,2,3,2,2,1
2,1,3,3,3,2,3,3,3
1,2,2,2,2,1,2,1,2
1,1,1,1,1,1,1,1,1
2,1,1,2,1,2,1,1,2
1,1,1,1,2,1,1,1,1
2,3,3,3,3,3,2,1,3
1,1,2,1,1,1,1,1,1
3,2,1,3,1,1,1,1,1
1,1,1,3,1,2,1,1,1
1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,1,1
2,1,1,2,2,3,1,1,1
2,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1
1,2,1,2,1,2,2,1,1
1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,3,1,3,2,3,3,1,2
